Component,Source ,Component Description,URL
"Venture Global CP2 LNG, LLC; Notice of Application, Establishing Intervention Deadline, and Waiver of Pre-Filing Process","Venture Global CP2 LNG, LLC; Notice of Application, Establishing Intervention Deadline, and Waiver of Pre-Filing Process",,https://www.federalregister.gov/documents/2026/01/22/2026-01147/venture-global-cp2-lng-llc-notice-of-application-establishing-intervention-deadline-and-waiver-of
Combined Notice of Filings,Combined Notice of Filings,,https://www.federalregister.gov/documents/2026/01/22/2026-01146/combined-notice-of-filings
Combined Notice of Filings #1,Combined Notice of Filings #1,,https://www.federalregister.gov/documents/2026/01/22/2026-01145/combined-notice-of-filings-1
Agency Information Collection Activities; Submission to the Office of Management and Budget; U.S. Fish and Wildlife Service ArcGIS Online (AGOL) Platform,Agency Information Collection Activities; Submission to the Office of Management and Budget; U.S. Fish and Wildlife Service ArcGIS Online (AGOL) Platform,"In accordance with the Paperwork Reduction Act of 1995 (PRA), we, the U.S. Fish and Wildlife Service (Service), are proposing to renew a currently approved information collection without change.",https://www.federalregister.gov/documents/2026/01/22/2026-01144/agency-information-collection-activities-submission-to-the-office-of-management-and-budget-us-fish
"SMR, LLC; Pioneer Units 1 and 2; Phased Construction Permit Application-Limited Work Authorization","SMR, LLC; Pioneer Units 1 and 2; Phased Construction Permit Application-Limited Work Authorization","The U.S. Nuclear Regulatory Commission (NRC) has received the first part of a phased construction permit application, including a limited work authorization (LWA) request, from SMR, LLC (SMR), a Holtec International Company, for a dual-unit SMR-300 plant located at the Palisades Energy Center (PEC) in Covert, Michigan. The units are individually named Pioneer Unit 1 and Pioneer Unit 2.",https://www.federalregister.gov/documents/2026/01/22/2026-01143/smr-llc-pioneer-units-1-and-2-phased-construction-permit-application-limited-work-authorization
Agency Information Collection; Request for Public Comment,Agency Information Collection; Request for Public Comment,"The U.S. Office of Special Counsel (OSC) has submitted a request to the Office of Management and Budget (OMB) for review and approval of an extension of a currently approved information collection used to file complaints and disclosures with OSC (Form OSC-14/dynamic electronic form). In accordance with the Paperwork Reduction Act of 1995, OSC is providing the public with an additional opportunity to comment on this proposed information collection prior to OMB approval. OMB first approved OSC's dynamic electronic filing form on September 18, 2017. OSC revised the previously approved form in July 2019 to reflect interim statutory changes and obtained emergency OMB/ OIRA processing for that collection. A final rule authorizing use of Form OSC-14 took effect on August 26, 2019, and OMB approval on February 3, 2020, authorized use of the revised form through March 2023. The collection was subsequently re-approved through February 28, 2026. OSC now seeks to extend approval of this collection through 2029. No substantive changes to the form or collection methodology are proposed with this extension.",https://www.federalregister.gov/documents/2026/01/22/2026-01142/agency-information-collection-request-for-public-comment
Revising Definition of “Unlawful User of or Addicted to Controlled Substance”,Revising Definition of “Unlawful User of or Addicted to Controlled Substance”,"The Bureau of Alcohol, Tobacco, Firearms, and Explosives (""ATF"") is amending Department of Justice (""Department"") regulations to update the definition of ""unlawful user of or addicted to any controlled substance,"" a category of persons who may not possess firearms under federal law. This definition was established in 1996 to facilitate operation of the National Instant Criminal Background Check System. Since then, court decisions and ATF internal guidance have evolved to include recurring use as a factor. As a result, ATF is aligning the definition with the best statutory understanding, as informed by judicial decisions.",https://www.federalregister.gov/documents/2026/01/22/2026-01141/revising-definition-of-unlawful-user-of-or-addicted-to-controlled-substance
Center for Scientific Review; Notice of Closed Meeting,Center for Scientific Review; Notice of Closed Meeting,,https://www.federalregister.gov/documents/2026/01/22/2026-01140/center-for-scientific-review-notice-of-closed-meeting
Agency Information Collection Activities; State Water Resources Research Institute Program Annual Application. National Competitive Grants and Reporting,Agency Information Collection Activities; State Water Resources Research Institute Program Annual Application. National Competitive Grants and Reporting,"In accordance with the Paperwork Reduction Act (PRA) of 1995, the U.S. Geological Survey (USGS, we) will ask the Office of Management and Budget (OMB) to approve the renewal without changes to the information collection request (ICR) described below.",https://www.federalregister.gov/documents/2026/01/22/2026-01139/agency-information-collection-activities-state-water-resources-research-institute-program-annual
"Connecticut Southern Railroad, Inc.-Modified Rail Certificate","Connecticut Southern Railroad, Inc.-Modified Rail Certificate",,https://www.federalregister.gov/documents/2026/01/22/2026-01138/connecticut-southern-railroad-inc-modified-rail-certificate
Notice of OFAC Sanctions Action,Notice of OFAC Sanctions Action,"The U.S. Department of the Treasury's Office of Foreign Assets Control (OFAC) is publishing the names of one or more persons and vessels that have been placed on OFAC's Specially Designated Nationals and Blocked Persons List (SDN List) based on OFAC's determination that one or more applicable legal criteria were satisfied. All property and interests in property subject to U.S. jurisdiction of these persons are blocked, and U.S. persons are generally prohibited from engaging in transactions with them.",https://www.federalregister.gov/documents/2026/01/22/2026-01137/notice-of-ofac-sanctions-action
Agency Information Collection Request; 60-Day Public Comment Request,Agency Information Collection Request; 60-Day Public Comment Request,"In compliance with the requirement of the Paperwork Reduction Act of 1995, the Office of the Secretary (OS), Department of Health and Human Services, is publishing the following summary of a proposed collection for public comment.",https://www.federalregister.gov/documents/2026/01/22/2026-01136/agency-information-collection-request-60-day-public-comment-request
"Fisheries of the Caribbean; Southeast Data, Assessment, and Review; Public Meeting","Fisheries of the Caribbean; Southeast Data, Assessment, and Review; Public Meeting","The Southeast Data Assessment and Review (SEDAR) 103 assessment process of Caribbean Alternate Assessment Methods will consist of a Development Workshop, a series of Assessment Webinars, and a Review Workshop. See SUPPLEMENTARY INFORMATION.",https://www.federalregister.gov/documents/2026/01/22/2026-01135/fisheries-of-the-caribbean-southeast-data-assessment-and-review-public-meeting
"AMG Pantheon Master Fund, LLC,et al.","AMG Pantheon Master Fund, LLC,et al.",,https://www.federalregister.gov/documents/2026/01/22/2026-01133/amg-pantheon-master-fund-llcet-al
Notice of Request for Comment on the Annual Report for Fiscal Year 2025 and Three-Year Plan,Notice of Request for Comment on the Annual Report for Fiscal Year 2025 and Three-Year Plan,Notice is hereby given that the Federal Accounting Standards Advisory Board (FASAB) has issued its Annual Report for Fiscal Year 2025 and Three-Year Plan. Respondents are encouraged to comment on the content of the annual report and FASAB's project priorities for the next three years.,https://www.federalregister.gov/documents/2026/01/22/2026-01132/notice-of-request-for-comment-on-the-annual-report-for-fiscal-year-2025-and-three-year-plan
Arms Sales Notification,Arms Sales Notification,The DoD is publishing the unclassified text of an arms sales notification.,https://www.federalregister.gov/documents/2026/01/22/2026-01131/arms-sales-notification
Arms Sales Notification,Arms Sales Notification,The DoD is publishing the unclassified text of an arms sales notification.,https://www.federalregister.gov/documents/2026/01/22/2026-01130/arms-sales-notification
Arms Sales Notification,Arms Sales Notification,The DoD is publishing the unclassified text of an arms sales notification.,https://www.federalregister.gov/documents/2026/01/22/2026-01129/arms-sales-notification
Arms Sales Notification,Arms Sales Notification,The DoD is publishing the unclassified text of an arms sales notification.,https://www.federalregister.gov/documents/2026/01/22/2026-01128/arms-sales-notification
Arms Sales Notification,Arms Sales Notification,The DoD is publishing the unclassified text of an arms sales notification.,https://www.federalregister.gov/documents/2026/01/22/2026-01127/arms-sales-notification
Arms Sales Notification,Arms Sales Notification,The DoD is publishing the unclassified text of an arms sales notification.,https://www.federalregister.gov/documents/2026/01/22/2026-01126/arms-sales-notification
Arms Sales Notification,Arms Sales Notification,The DoD is publishing the unclassified text of an arms sales notification.,https://www.federalregister.gov/documents/2026/01/22/2026-01125/arms-sales-notification
Arms Sales Notification,Arms Sales Notification,The DoD is publishing the unclassified text of an arms sales notification.,https://www.federalregister.gov/documents/2026/01/22/2026-01124/arms-sales-notification
Arms Sales Notification,Arms Sales Notification,The DoD is publishing the unclassified text of an arms sales notification.,https://www.federalregister.gov/documents/2026/01/22/2026-01123/arms-sales-notification
Arms Sales Notification,Arms Sales Notification,The DoD is publishing the unclassified text of an arms sales notification.,https://www.federalregister.gov/documents/2026/01/22/2026-01122/arms-sales-notification
Labeling and Preventing Cross-Contact of Gluten for Packaged Foods; Request for Information,Labeling and Preventing Cross-Contact of Gluten for Packaged Foods; Request for Information,The Food and Drug Administration (FDA or we) received a citizen petition from Celiac Journey requesting that we act to protect consumers with celiac disease by requiring that all ingredients with gluten be listed by name in the ingredient list and by requiring cross- contact controls with gluten-containing grains. We are issuing this document to request comment on the issues raised in the petition and on specific questions related to these issues.,https://www.federalregister.gov/documents/2026/01/22/2026-01121/labeling-and-preventing-cross-contact-of-gluten-for-packaged-foods-request-for-information
"Self-Regulatory Organizations; The Nasdaq Stock Market LLC; Notice of Filing and Immediate Effectiveness of Proposed Rule Change To Amend the Pricing Schedule for Exchange-Traded Products To Add Class ETF Shares, Eliminate Prorated Refunds for Liquidations, and Make Modifications to the Designated Liquidity Provider and Market Quality Supporter Incentive Programs","Self-Regulatory Organizations; The Nasdaq Stock Market LLC; Notice of Filing and Immediate Effectiveness of Proposed Rule Change To Amend the Pricing Schedule for Exchange-Traded Products To Add Class ETF Shares, Eliminate Prorated Refunds for Liquidations, and Make Modifications to the Designated Liquidity Provider and Market Quality Supporter Incentive Programs",,https://www.federalregister.gov/documents/2026/01/22/2026-01120/self-regulatory-organizations-the-nasdaq-stock-market-llc-notice-of-filing-and-immediate
"Order Granting Limited Exemption Pursuant to Rule 612(d) of Regulation NMS to Cboe BYX Exchange, Inc. From Rule 612 of Regulation NMS","Order Granting Limited Exemption Pursuant to Rule 612(d) of Regulation NMS to Cboe BYX Exchange, Inc. From Rule 612 of Regulation NMS",,https://www.federalregister.gov/documents/2026/01/22/2026-01119/order-granting-limited-exemption-pursuant-to-rule-612d-of-regulation-nms-to-cboe-byx-exchange-inc
"Self-Regulatory Organizations; Nasdaq ISE, LLC; Order Approving a Proposed Rule Change, as Modified by Amendment No. 1, To Amend the Short Term Option Series Program To List Qualifying Securities","Self-Regulatory Organizations; Nasdaq ISE, LLC; Order Approving a Proposed Rule Change, as Modified by Amendment No. 1, To Amend the Short Term Option Series Program To List Qualifying Securities",,https://www.federalregister.gov/documents/2026/01/22/2026-01118/self-regulatory-organizations-nasdaq-ise-llc-order-approving-a-proposed-rule-change-as-modified-by
Polypropylene Corrugated Boxes From China and Vietnam; Cancellation of Hearing for Antidumping and Countervailing Duty Investigations,Polypropylene Corrugated Boxes From China and Vietnam; Cancellation of Hearing for Antidumping and Countervailing Duty Investigations,,https://www.federalregister.gov/documents/2026/01/22/2026-01116/polypropylene-corrugated-boxes-from-china-and-vietnam-cancellation-of-hearing-for-antidumping-and
"Agency Information Collection Activities; Reinstatement, With Change, of a Previously Approved Collection for Which Approval Has Expired: Public Charge Bond","Agency Information Collection Activities; Reinstatement, With Change, of a Previously Approved Collection for Which Approval Has Expired: Public Charge Bond","The Department of Homeland Security (DHS), U.S. Citizenship and Immigration Services (USCIS) will be submitting the following information collection request to the Office of Management and Budget (OMB) for review and clearance in accordance with the Paperwork Reduction Act of 1995. The purpose of this notice is to allow an additional 30 days for public comments.",https://www.federalregister.gov/documents/2026/01/22/2026-01115/agency-information-collection-activities-reinstatement-with-change-of-a-previously-approved
"Product Change-Priority Mail Express, Priority Mail, and USPS Ground Advantage Negotiated Service Agreements","Product Change-Priority Mail Express, Priority Mail, and USPS Ground Advantage Negotiated Service Agreements",The Postal Service gives notice of filing a request with the Postal Regulatory Commission to add a domestic shipping services contract to the list of Negotiated Service Agreements in the Mail Classification Schedule's Competitive Products List.,https://www.federalregister.gov/documents/2026/01/22/2026-01114/product-change-priority-mail-express-priority-mail-and-usps-ground-advantage-negotiated-service
Agency Information Collection Activities; Submission for OMB Review; Comment Request; Ventilation Plan and Main Fan Maintenance Record,Agency Information Collection Activities; Submission for OMB Review; Comment Request; Ventilation Plan and Main Fan Maintenance Record,The Department of Labor (DOL) is submitting this Mine Safety & Health Administration (MSHA)-sponsored information collection request (ICR) to the Office of Management and Budget (OMB) for review and approval in accordance with the Paperwork Reduction Act of 1995 (PRA). Public comments on the ICR are invited.,https://www.federalregister.gov/documents/2026/01/22/2026-01113/agency-information-collection-activities-submission-for-omb-review-comment-request-ventilation-plan
"Foreign-Trade Zone (FTZ) 39, Notification of Proposed Production Activity; Qorvo US, Inc.; (Semiconductor Wafers, Modules, and Chips); Richardson, Texas","Foreign-Trade Zone (FTZ) 39, Notification of Proposed Production Activity; Qorvo US, Inc.; (Semiconductor Wafers, Modules, and Chips); Richardson, Texas",,https://www.federalregister.gov/documents/2026/01/22/2026-01112/foreign-trade-zone-ftz-39-notification-of-proposed-production-activity-qorvo-us-inc-semiconductor
"Foreign-Trade Zone (FTZ) 230, Notification of Proposed Production Activity; Qorvo US, Inc.; (Semiconductor Wafers, Modules, and Chips); Greensboro, North Carolina","Foreign-Trade Zone (FTZ) 230, Notification of Proposed Production Activity; Qorvo US, Inc.; (Semiconductor Wafers, Modules, and Chips); Greensboro, North Carolina",,https://www.federalregister.gov/documents/2026/01/22/2026-01111/foreign-trade-zone-ftz-230-notification-of-proposed-production-activity-qorvo-us-inc-semiconductor
"Foreign-Trade Zone (FTZ) 45, Notification of Proposed Production Activity; Qorvo US, Inc.; (Semiconductor Wafers and Modules); Hillsboro, Oregon","Foreign-Trade Zone (FTZ) 45, Notification of Proposed Production Activity; Qorvo US, Inc.; (Semiconductor Wafers and Modules); Hillsboro, Oregon",,https://www.federalregister.gov/documents/2026/01/22/2026-01110/foreign-trade-zone-ftz-45-notification-of-proposed-production-activity-qorvo-us-inc-semiconductor
Proposed Collection; 60-Day Comment Request; The Genetic Testing Registry (Office of the Director),Proposed Collection; 60-Day Comment Request; The Genetic Testing Registry (Office of the Director),"In compliance with the requirement of the Paperwork Reduction Act of 1995 to provide opportunity for public comment on proposed data collection projects, the National Institutes of Health Office of the Director (OD) will publish periodic summaries of proposed projects to be submitted to the Office of Management and Budget (OMB) for review and approval.",https://www.federalregister.gov/documents/2026/01/22/2026-01109/proposed-collection-60-day-comment-request-the-genetic-testing-registry-office-of-the-director
Denali Commission Fiscal Year 2026 Draft Work Plan,Denali Commission Fiscal Year 2026 Draft Work Plan,"The President's 2026 Budget requested no new funding for the Denali Commission in 2026 and proposed to use all available resources to conduct an orderly closeout of the Commission. Congress has begun work on bills that do provide funding for the Commission's FY 2026 operations and the FY 2026 Work Plan represents the Commission's contingency plan if such a bill is enacted. The Denali Commission (Commission) is an independent Federal agency based on an innovative federal-state partnership designed to provide critical utilities, infrastructure and support for economic development and training in Alaska by delivering federal services in the most cost-effective manner possible. The Commission is required to develop an annual work plan for future spending which will be published in the Federal Register, providing an opportunity for a 30-day period of public review and written comment. This Federal Register notice serves to announce the 30-day opportunity for public comment on the Denali Commission Draft Work Plan for Federal Fiscal Year 2026 (FY 2026).",https://www.federalregister.gov/documents/2026/01/22/2026-01108/denali-commission-fiscal-year-2026-draft-work-plan
Notice of Public Meeting of the Oklahoma Advisory Committee,Notice of Public Meeting of the Oklahoma Advisory Committee,"Notice is hereby given, pursuant to the provisions of the rules and regulations of the U.S. Commission on Civil Rights (Commission) and the Federal Advisory Committee Act (FACA) that the Oklahoma Advisory Committee (Committee) to the U.S. Commission on Civil Rights will hold virtual business meetings via ZoomGov on Tuesday, January 27, 2026 from 3:00 p.m.-4:00 p.m. CT. For the purpose of reviewing and discussing their project proposal.",https://www.federalregister.gov/documents/2026/01/22/2026-01107/notice-of-public-meeting-of-the-oklahoma-advisory-committee
"Agency Information Collection Activities; Reinstatement, With Change, of a Previously Approved Collection for Which Approval Has Expired: Request for Cancellation of a Public Charge Bond","Agency Information Collection Activities; Reinstatement, With Change, of a Previously Approved Collection for Which Approval Has Expired: Request for Cancellation of a Public Charge Bond","The Department of Homeland Security (DHS), U.S. Citizenship and Immigration Services (USCIS) will be submitting the following information collection request to the Office of Management and Budget (OMB) for review and clearance in accordance with the Paperwork Reduction Act of 1995. The purpose of this notice is to allow an additional 30 days for public comments.",https://www.federalregister.gov/documents/2026/01/22/2026-01106/agency-information-collection-activities-reinstatement-with-change-of-a-previously-approved
Information Collection Being Reviewed by the Federal Communications Commission,Information Collection Being Reviewed by the Federal Communications Commission,"As part of its continuing effort to reduce paperwork burdens, and as required by the Paperwork Reduction Act (PRA) of 1995, the Federal Communications Commission (FCC or the Commission) invites the general public and other Federal agencies to take this opportunity to comment on the following information collection. Comments are requested concerning: whether the proposed collection of information is necessary for the proper performance of the functions of the Commission, including whether the information shall have practical utility; the accuracy of the Commission's burden estimate; ways to enhance the quality, utility, and clarity of the information collected; ways to minimize the burden of the collection of information on the respondents, including the use of automated collection techniques or other forms of information technology; and ways to further reduce the information collection burden on small business concerns with fewer than 25 employees.",https://www.federalregister.gov/documents/2026/01/22/2026-01105/information-collection-being-reviewed-by-the-federal-communications-commission
Information Collection Being Reviewed by the Federal Communications Commission Under Delegated Authority,Information Collection Being Reviewed by the Federal Communications Commission Under Delegated Authority,"As part of its continuing effort to reduce paperwork burdens, and as required by the Paperwork Reduction Act (PRA) of 1995, the Federal Communications Commission (FCC or the Commission) invites the general public and other Federal agencies to take this opportunity to comment on the following information collection. Comments are requested concerning: whether the proposed collection of information is necessary for the proper performance of the functions of the Commission, including whether the information shall have practical utility; the accuracy of the Commission's burden estimate; ways to enhance the quality, utility, and clarity of the information collected; ways to minimize the burden of the collection of information on the respondents, including the use of automated collection techniques or other forms of information technology; and ways to further reduce the information collection burden on small business concerns with fewer than 25 employees. The FCC may not conduct or sponsor a collection of information unless it displays a currently valid control number. No person shall be subject to any penalty for failing to comply with a collection of information subject to the PRA that does not display a valid Office of Management and Budget (OMB) control number.",https://www.federalregister.gov/documents/2026/01/22/2026-01104/information-collection-being-reviewed-by-the-federal-communications-commission-under-delegated
60-Day Notice of Proposed Information Collection: Smart Traveler Enrollment Program (STEP),60-Day Notice of Proposed Information Collection: Smart Traveler Enrollment Program (STEP),"The Department of State (the Department) is seeking Office of Management and Budget (OMB) approval for the information collection described below. In accordance with the Paperwork Reduction Act of 1995, we are requesting comments on this collection from all interested individuals and organizations. The purpose of this notice is to allow 60 days for public comment preceding submission of the collection to OMB.",https://www.federalregister.gov/documents/2026/01/22/2026-01103/60-day-notice-of-proposed-information-collection-smart-traveler-enrollment-program-step
"Wagner-Peyser Act Staffing, Delay of Merit Staffing Compliance Date","Wagner-Peyser Act Staffing, Delay of Merit Staffing Compliance Date","The Department of Labor's (Department's) Employment and Training Administration (ETA) is delaying by 1 year the date by which State grantees, as a condition on their grant funds, must comply with the regulatory requirements in the 2023 Wagner-Peyser Act Staffing Final Rule regarding the grant-funded staffing models States must use to deliver services in the Wagner-Peyser Act Employment Service (ES). The 2023 Final Rule became effective on January 23, 2024, and provided that all States have until January 22, 2026, 24 months after the effective date of the rule, to comply with the staffing requirements. With this 1-year delay, the compliance date is now January 21, 2027.",https://www.federalregister.gov/documents/2026/01/21/2026-01117/wagner-peyser-act-staffing-delay-of-merit-staffing-compliance-date
"Establishment of Class E Airspace; Birch Creek Airport, Birch Creek, AK","Establishment of Class E Airspace; Birch Creek Airport, Birch Creek, AK","This action proposes to establish Class E airspace extending upward from 700 feet above the surface at Birch Creek Airport, Birch Creek, AK. This action would support the safety and management of instrument flight rules (IFR) operations at the airport.",https://www.federalregister.gov/documents/2026/01/21/2026-01098/establishment-of-class-e-airspace-birch-creek-airport-birch-creek-ak
Agency Information Collection Activities; Renewal of an Approved Information Collection: Commercial Motor Vehicle Marking Requirements,Agency Information Collection Activities; Renewal of an Approved Information Collection: Commercial Motor Vehicle Marking Requirements,"In accordance with the Paperwork Reduction Act of 1995, FMCSA announces its plan to submit the Information Collection Request (ICR) described below to the Office of Management and Budget (OMB) for review and approval and invites public comment. FMCSA requests approval to renew an ICR titled, ""Marking of Self-Propelled CMVs and Intermodal Equipment."" The renewal of this ICR will enable FMCSA to continue documenting the burden associated with the commercial motor vehicle (CMV) marking regulations. These regulations require marking of self- propelled CMVs and intermodal equipment by motor carriers, freight forwarders, and intermodal equipment providers (IEPs) engaging in interstate transportation and motor carriers that transport hazardous materials (HM) in intrastate transportation subject to the Hazardous Materials Safety Permit (HMSP) rules.",https://www.federalregister.gov/documents/2026/01/21/2026-01096/agency-information-collection-activities-renewal-of-an-approved-information-collection-commercial
